IDNUMBER,Hospital,Facility name,Address,Town,ZIP code,CHIA region,Type of hospital,Hospital system,Telephone,Facility type,norm_address,norm_name,Nursing homes within 30 minutes drive time,Hospitals within 30 minutes drive time,geometry
2114,Steward Norwood Hospital,Norwood Hospital,800 Washington Street,Norwood,2062,Metro West,Community-High Public Payer Hospital,Steward Health Care,(781) 769-4000,Hospital,800 washington street,steward norwood hospital,59.0,8.0,POINT (-71.20151319398309 42.1884862)
2069,Beth Israel Deaconess Medical Center East,BIDMC East,330 Brookline Avenue,Boston,2215,Metro Boston,Academic Medical Center,Beth Israel Lahey Health,(617) 667-7000,Hospital,330 brookline avenue,beth israel deaconess medical center east,61.0,20.0,POINT (-71.10487181678371 42.3397971)
2128,Saint Vincent Hospital,Saint Vincent Hospital,123 Summer Street,Worcester,1608,Central Massachusetts,Teaching Hospital,Tenet Healthcare,(508) 363-5000,Hospital,123 summer street,saint vincent hospital,41.0,5.0,POINT (-71.79655404170376 42.26496835)
2105,Milford Regional Medical Center,Milford Regional Medical Center,14 Prospect Street,Milford,1757,Metro West,Community Hospital,"Milford Regional Medical Ctr, Inc. & Affil.",(508) 473-1190,Hospital,14 prospect street,milford regional medical center,24.0,1.0,POINT (-71.52815123209695 42.13437665)
2139,Boston Children's Hospital,Boston Children's Hospital,300 Longwood Avenue,Boston,2115,Metro Boston,Specialty Hospital,Boston Children's Hospital and Subsid.,(617) 355-6000,Hospital,300 longwood avenue,boston childrens hospital,60.0,19.0,POINT (-71.1057039092664 42.3373219)
2103,UMass Memorial Marlborough Hospital,Marlborough Hospital,157 Union Street,Marlborough,1752,Metro West,Community-High Public Payer Hospital,UMass Memorial Health Care,(508) 481-5000,Hospital,157 union street,umass memorial marlborough hospital,45.0,6.0,POINT (-71.55424865901223 42.35398441933779)
2155,Cooley Dickinson Hospital,Cooley Dickinson Hospital,30 Locust Street,Northampton,1060,Western Massachusetts,Community-High Public Payer Hospital,Mass General Brigham,(413) 582-2000,Hospital,30 locust street,cooley dickinson hospital,22.0,4.0,POINT (-72.65330802608176 42.33032115)
2167,Massachusetts Eye and Ear Infirmary,Massachusetts Eye and Ear Infirmary,243 Charles Street,Boston,2114,Metro Boston,Specialty Hospital,Mass General Brigham,(617) 523-7900,Hospital,243 charles street,massachusetts eye and ear infirmary,75.0,20.0,POINT (-71.07010494596719 42.3628213)
2106,Southcoast Health - Tobey Hospital,Tobey Hospital,43 High Street,Wareham,2571,Southcoast,Community Hospital,South Shore Health System,(508) 295-0880,Hospital,43 high street,southcoast health  tobey hospital,21.0,1.0,POINT (-70.71445356731309 41.75565075)
2044,Nantucket Cottage Hospital,Nantucket Cottage Hospital,57 Prospect Street,Nantucket,2554,Cape and Islands,Community Hospital,Mass General Brigham,(508) 825-8100,Hospital,57 prospect street,nantucket cottage hospital,1.0,0.0,POINT (-70.10107950935742 41.275109799999996)
2020,Metrowest Medical Center-Framingham Union Hospital,Framingham Union Hospital,115 Lincoln Street,Framingham,1702,Metro West,Community-High Public Payer Hospital,Tenet Healthcare,(508) 383-1000,Hospital,115 lincoln street,metrowest medical centerframingham union hospital,45.0,5.0,POINT (-71.41911943738873 42.2850066)
2311,Steward Good Samaritan Medical Center,Good Samaritan Medical Center,235 North Pearl Street,Brockton,2301,Metro South,Community-High Public Payer Hospital,Steward Health Care,(508) 427-3000,Hospital,235 north pearl street,steward good samaritan medical center,64.0,9.0,POINT (-71.0609587194362 42.09805395)
2003,Steward Carney Hospital,Carney Hospital,2100 Dorchester Avenue,Boston,2124,Metro Boston,Teaching Hospital,Steward Health Care,(617) 296-4000,Hospital,2100 dorchester avenue,steward carney hospital,72.0,21.0,POINT (-71.0652916165175 42.27713935)
2042,Martha's Vineyard Hospital,Martha's Vineyard Hospital,1 Hospital Road,Oak Bluffs,2557,Cape and Islands,Community Hospital,Mass General Brigham,(508) 693-0410,Hospital,1 hospital road,marthas vineyard hospital,1.0,0.0,POINT (-70.57989080295974 41.46063105)
2018,Emerson Hospital,Emerson Hospital,133 Old Road to Nine Acre Corner,Concord,1742,Northeastern Massachusetts,Community Hospital,Emerson Health System Inc. and Subsid.,(978) 369-1400,Hospital,133 old road to nine acre corner,emerson hospital,48.0,6.0,POINT (-71.37498430207177 42.4518863)
2149,Mercy Medical Center,Mercy Medical Center,271 Carew Street,Springfield,1104,Western Massachusetts,Community-High Public Payer Hospital,Trinity Health,(413) 748-9000,Hospital,271 carew street,mercy medical center,32.0,5.0,POINT (-72.59301656598424 42.11597825)
2108,CHA Cambridge Hospital,Cambridge Hospital,1493 Cambridge Street,Cambridge,2139,Metro Boston,Teaching Hospital,Cambridge Health Alliance,(617) 665-1000,Hospital,1493 cambridge street,cha cambridge hospital,59.0,20.0,POINT (-71.10477268958375 42.3751731)
2120,Baystate Franklin Medical Center,Baystate Franklin Medical Center,164 High Street,Greenfield,1301,Western Massachusetts,Community-High Public Payer Hospital,Baystate Health,(413) 773-0211,Hospital,164 high street,baystate franklin medical center,4.0,1.0,POINT (-72.59288632376354 42.595268700000005)
2131,Steward Holy Family Hospital - Haverhill,Holy Family Hospital-Haverhill,140 Lincoln Avenue,Haverhill,1830,Northeastern Massachusetts,Community-High Public Payer Hospital,Steward Health Care,(978) 374-2000,Hospital,140 lincoln avenue,steward holy family hospital  haverhill,31.0,4.0,POINT (-71.04548045255484 42.76504115)
2337,Southcoast Health - Charlton Memorial Hospital,Charlton Memorial Hospital,363 Highland Avenue,Fall River,2720,Southcoast,Community Hospital,South Shore Health System,(508) 679-3131,Hospital,363 highland avenue,southcoast health  charlton memorial hospital,28.0,3.0,POINT (-71.1460783680883 41.7093779)
2313,Berkshire Medical Center,Berkshire Medical Center,725 North Street,Pittsfield,1201,Western Massachusetts,Community-High Public Payer Hospital,Berkshire Health Systems,(413) 447-2000,Hospital,725 north street,berkshire medical center,8.0,0.0,POINT (-73.2492795834909 42.4600752)
2075,Newton-Wellesley Hospital,Newton-Wellesley Hospital,2014 Washington Street,Newton,2462,Metro Boston,Community Hospital,Mass General Brigham,(617) 243-6000,Hospital,2014 washington street,newtonwellesley hospital,95.0,25.0,POINT (-71.24519969081618 42.33132435)
2I6I,Lahey Medical Center - Peabody,Lahey Medical Center,1 Essex Center Drive,Peabody,1960,Northeastern Massachusetts,Teaching Hospital,Beth Israel Lahey Health,(978) 538-4000,Hospital,1 essex center drive,lahey medical center  peabody,56.0,10.0,POINT (-70.94713552121586 42.5373357)
2143,Harrington Memorial Hospital,Harrington Memorial Hospital,100 South Street,Southbridge,1550,Central Massachusetts,Community-High Public Payer Hospital,"Harrington Healthcare System, Inc.",(508) 765-9771,Hospital,100 south street,harrington memorial hospital,10.0,1.0,POINT (-72.04241448482102 42.07825955)
2342,Lahey Hospital & Medical Center - Burlington,Lahey Hospital & Medical Center,41 Mall Road,Burlington,1806,Northeastern Massachusetts,Teaching Hospital,Beth Israel Lahey Health,(781) 744-5100,Hospital,41 mall road,lahey hospital  medical center  burlington,81.0,16.0,POINT (-71.2042248992141 42.48464385)
2118,Signature Healthcare Brockton Hospital,Brockton Hospital,680 Centre Street,Brockton,2302,Metro South,Community-High Public Payer Hospital,Signature Healthcare Corporation,(508) 941-7000,Hospital,680 centre street,signature healthcare brockton hospital,34.0,3.0,POINT (-70.9910738855076 42.0872752)
2010,Southcoast Health - St. Luke's Hospital,St. Luke's Hospital,101 Page Street,New Bedford,2740,Southcoast,Community-High Public Payer Hospital,Southcoast Health System,(508) 997-1515,Hospital,101 page street,southcoast health  st lukes hospital,24.0,3.0,POINT (-70.93796710926934 41.62665365)
2335,Dana-Farber Cancer Institute,Dana-Farber Cancer Institute,450 Brookline Avenue,Boston,2215,Metro Boston,Specialty Hospital,Dana-Farber Cancer Institute and Subsid.,(617) 632-3000,Hospital,450 brookline avenue,danafarber cancer institute,58.0,19.0,POINT (-71.10767865655916 42.337634699999995)
2341,Brigham and Women's Hospital,Brigham and Women's Hospital,75 Francis Street,Boston,2115,Metro Boston,Academic Medical Center,Mass General Brigham,(617) 732-5500,Hospital,75 francis street,brigham and womens hospital,51.0,19.0,POINT (-71.10603595371349 42.3356871)
2085,Steward St. Elizabeth's Medical Center,St. Elizabeth's Medical Center,736 Cambridge Street,Brighton,2135,Metro Boston,Teaching Hospital,Steward Health Care,(617) 789-3000,Hospital,736 cambridge street,steward st elizabeths medical center,61.0,19.0,POINT (-71.14799584850206 42.348649949999995)
2052,Fairview Hospital,Fairview Hospital,29 Lewis Avenue,Great Barrington,1230,Western Massachusetts,Community-High Public Payer Hospital,Berkshire Health Systems,(413) 528-8600,Hospital,29 lewis avenue,fairview hospital,5.0,0.0,POINT (-73.3715000043024 42.19093125)
2029,Lowell General Hospital - Saints Campus,Lowell General Hospital - Saints Campus,1 Hospital Drive,Lowell,1852,Northeastern Massachusetts,Community-High Public Payer Hospital,Tufts Medicine,(978) 458-1411,Hospital,1 hospital drive,lowell general hospital  saints campus,41.0,5.0,POINT (-71.30008665422238 42.645351500000004)
2071,Mount Auburn Hospital,Mount Auburn Hospital,330 Mount Auburn Street,Cambridge,2138,Metro Boston,Teaching Hospital,Beth Israel Lahey Health,(617) 492-3500,Hospital,330 mount auburn street,mount auburn hospital,60.0,19.0,POINT (-71.13417575971958 42.3741033)
2054,Beth Israel Deaconess Hospital - Needham,Beth Israel Needham,148 Chestnut Street,Needham,2192,Metro Boston,Community Hospital,Beth Israel Lahey Health,(781) 453-3000,Hospital,148 chestnut street,beth israel deaconess hospital  needham,82.0,24.0,POINT (-71.23665362814043 42.27728075)
2039,Metrowest Medical Center-Leonard Morse Hospital,Leonard Morse Hospital,67 Union Street,Natick,1760,Metro West,Community-High Public Payer Hospital,Tenet Healthcare,(508) 650-7000,Hospital,67 union street,metrowest medical centerleonard morse hospital,42.0,5.0,POINT (-71.33524787035988 42.28015725)
2339,Baystate Medical Center,Baystate Medical Center,759 Chestnut Street,Springfield,1199,Western Massachusetts,Teaching Hospital,Baystate Health,(413) 794-0000,Hospital,759 chestnut street,baystate medical center,32.0,5.0,POINT (-72.60300615153007 42.121522049999996)
2016,Northeast Hospital - Addison Gilbert Campus,Addison Gilbert Hospital,298 Washington Street,Gloucester,1930,Northeastern Massachusetts,Community-High Public Payer Hospital,Beth Israel Lahey Health,(978) 283-4000,Hospital,298 washington street,northeast hospital  addison gilbert campus,16.0,2.0,POINT (-70.6819300361943 42.6246771)
2094,Winchester Hospital,Winchester Hospital,41 Highland Avenue,Winchester,1890,Northeastern Massachusetts,Community Hospital,Beth Israel Lahey Health,(781) 729-9000,Hospital,41 highland avenue,winchester hospital,93.0,23.0,POINT (-71.1227029917842 42.465802)
2841,UMass Memorial Medical Center - University Campus,UMass University Campus,55 Lake Avenue North,Worcester,1655,Central Massachusetts,Academic Medical Center,UMass Memorial Health Care,(508) 334-1000,Hospital,55 lake avenue north,umass memorial medical center  university campus,40.0,5.0,POINT (-71.76166994969458 42.2774799)
2225,Steward Holy Family Hospital - Methuen,Holy Family Hospital-Methuen,70 East Street,Methuen,1844,Northeastern Massachusetts,Community-High Public Payer Hospital,Steward Health Care,(978) 687-0151,Hospital,70 east street,steward holy family hospital  methuen,37.0,6.0,POINT (-71.16833738237946 42.7285558)
2048,Brigham and Women's Faulkner Hospital,Brigham and Women's Faulkner Hospital,1153 Centre Street,Boston,2130,Metro Boston,Community Hospital,Mass General Brigham,(617) 983-7000,Hospital,1153 centre street,brigham and womens faulkner hospital,49.0,19.0,POINT (-71.12883970437127 42.3017598)
2038,Lawrence Memorial Hospital of Medford,Lawrence Memorial Hospital of Medford,170 Governors Avenue,Medford,2155,Metro Boston,Community-High Public Payer Hospital,Tufts Medicine,(781) 306-6000,Hospital,170 governors avenue,lawrence memorial hospital of medford,79.0,21.0,POINT (-71.11132310898837 42.4258308)
2316,Shriners Hospital For Children - Boston,Shriners Boston,51 Blossom Street,Boston,2114,Metro Boston,Specialty Hospital,Shriners Hospital for Children,(617) 722-3000,Hospital,51 blossom street,shriners hospital for children  boston,69.0,20.0,POINT (-71.06643399281765 42.36305545)
2082,Beth Israel Deaconess Hospital - Plymouth,Beth Israel Plymouth,275 Sandwich Street,Plymouth,2360,Metro South,Community-High Public Payer Hospital,Beth Israel Lahey Health,(508) 746-2000,Hospital,275 sandwich street,beth israel deaconess hospital  plymouth,12.0,0.0,POINT (-70.6455366462985 41.94186605)
2126,UMass Memorial HealthAlliance-Clinton Hospital,HealthAlliance-Clinton Hospital,201 Highland Street,Clinton,1510,Central Massachusetts,Community-High Public Payer Hospital,UMass Memorial Health Care,(978) 368-3000,Hospital,201 highland street,umass memorial healthallianceclinton hospital,33.0,6.0,POINT (-71.69329092351188 42.42738865)
2040,Lowell General Hospital,Lowell General Hospital,295 Varnum Avenue,Lowell,1854,Northeastern Massachusetts,Community-High Public Payer Hospital,Tufts Medicine,(978) 937-6000,Hospital,295 varnum avenue,lowell general hospital,24.0,4.0,POINT (-71.342233668805 42.647802799999994)
2124,UMass Memorial Medical Center - Memorial Campus,UMass Memorial Campus,119 Belmont Street,Worcester,1605,Central Massachusetts,Academic Medical Center,UMass Memorial Health Care,(508) 334-1000,Hospital,119 belmont street,umass memorial medical center  memorial campus,41.0,5.0,POINT (-71.79223744336628 42.272909049999996)
2007,Northeast Hospital - Beverly Hospital Campus,Beverly Hospital,85 Herrick Street,Beverly,1915,Northeastern Massachusetts,Community-High Public Payer Hospital,Beth Israel Lahey Health,(978) 922-3000,Hospital,85 herrick street,northeast hospital  beverly hospital campus,42.0,7.0,POINT (-70.8751357650672 42.56415055)
2181,Baystate Wing Hospital And Medical Centers,Baystate Wing Hospital,40 Wright Street,Palmer,1069,Western Massachusetts,Community-High Public Payer Hospital,Baystate Health,(413) 283-7651,Hospital,40 wright street,baystate wing hospital and medical centers,26.0,3.0,POINT (-72.34120457065711 42.16934095)
2227,Beth Israel Deaconess Hospital - Milton,Beth Israel Milton,199 Reedsdale Road,Milton,2186,Metro Boston,Community Hospital,Beth Israel Lahey Health,(617) 696-4600,Hospital,199 reedsdale road,beth israel deaconess hospital  milton,72.0,21.0,POINT (-71.0768393856917 42.251368299999996)
2135,Cape Cod Hospital,Cape Cod Hospital,27 Park Street,Hyannis,2601,Cape and Islands,Community-High Public Payer Hospital,Cape Cod Healthcare,(508) 771-1800,Hospital,27 park street,cape cod hospital,9.0,0.0,POINT (-70.27352219234834 41.65363635)
2168,Massachusetts General Hospital,Massachusetts General Hospital,55 Fruit Street,Boston,2114,Metro Boston,Academic Medical Center,Mass General Brigham,(617) 726-2000,Hospital,55 fruit street,massachusetts general hospital,67.0,20.0,POINT (-71.06875296664998 42.36286045)
2299,Tufts Medical Center,Tufts Medical Center,800 Washington Street,Boston,2111,Metro Boston,Academic Medical Center,Tufts Medicine,(617) 636-5000,Hospital,800 washington street,tufts medical center,78.0,21.0,POINT (-71.06341692346794 42.349555300000006)
2289,Falmouth Hospital,Falmouth Hospital,100 Ter Heun Drive,Falmouth,2540,Cape and Islands,Community-High Public Payer Hospital,Cape Cod Healthcare,(508) 548-5300,Hospital,100 ter heun drive,falmouth hospital,8.0,1.0,POINT (-70.62202929985716 41.5639445)
2145,Holyoke Medical Center,Holyoke Medical Center,575 Beech Street,Holyoke,1040,Western Massachusetts,Community-High Public Payer Hospital,Valley Health System,(413) 534-2500,Hospital,575 beech street,holyoke medical center,35.0,5.0,POINT (-72.628169560868 42.20105435)
2006,Anna Jaques Hospital,Anna Jaques Hospital,25 Highland Avenue,Newburyport,1950,Northeastern Massachusetts,Community Hospital,Beth Israel Lahey Health,(978) 463-1000,Hospital,25 highland avenue,anna jaques hospital,28.0,4.0,POINT (-70.89091645747592 42.81369325)
2307,Boston Medical Center - Menino Pavilion,BMC - Menino Pavilion,840 Harrison Avenue,Boston,2118,Metro Boston,Academic Medical Center,Boston Medical Center Health System,(617) 414-4128,Hospital,840 harrison avenue,boston medical center  menino pavilion,73.0,21.0,POINT (-71.07312594209233 42.33457775)
2298,Steward Nashoba Valley Medical Center,Nashoba Valley Medical Center,200 Groton Street,Ayer,1432,Northeastern Massachusetts,Community-High Public Payer Hospital,Steward Health Care,(978) 784-9000,Hospital,200 groton street,steward nashoba valley medical center,16.0,3.0,POINT (-71.58632182680385 42.564130449742784)
2127,UMass Memorial HealthAlliance-Clinton Hospital Leominster,HealthAlliance Hospital - Leominster Campus,60 Hospital Road,Leominster,1453,Central Massachusetts,Community-High Public Payer Hospital,UMass Memorial Health Care,(978) 466-2000,Hospital,60 hospital road,umass memorial healthallianceclinton hospital leominster,30.0,6.0,POINT (-71.76312990486304 42.54031915)
,,Pine Knoll Nursing Center,30 Watertown Street,Lexington,2421,Northeastern Massachusetts,,,,Nursing home,30 watertown street,pine knoll nursing center,,21.0,POINT (-71.20740917535738 42.4204729)
,,Oak Hill Healthcare,76 North Street,Middleborough,2346,Metro South,,,,Nursing home,76 north street,oak hill healthcare,,4.0,POINT (-70.91375666607357 41.9014651)
,,Benchmark Senior Living at The Commons In Lincoln,1 Harvest Circle,Lincoln,1773,Northeastern Massachusetts,,,,Nursing home,1 harvest circle,benchmark senior living at the commons in lincoln,,10.0,POINT (-71.31871054549417 42.4478299)
,,Cape Heritage Rehabilitation & Health Care Center,37 Route 6A,Sandwich,2563,Cape and Islands,,,,Nursing home,37 route 6a,cape heritage rehabilitation  health care center,,4.0,POINT (-70.5147600346998 41.766329400000004)
,,Highview of Northampton,222 River Road,Northampton,1053,Western Massachusetts,,,,Nursing home,222 river road,highview of northampton,,2.0,POINT (-72.70745188531934 42.364084399999996)
,,St. Joseph Rehab & Nursing Care Center,321 Centre Street,Boston,2122,Metro Boston,,,,Nursing home,321 centre street,st joseph rehab  nursing care center,,23.0,POINT (-71.06005213312326 42.29394375)
,,Sancta Maria Nursing Facility,799 Concord Avenue,Cambridge,2138,Metro Boston,,,,Nursing home,799 concord avenue,sancta maria nursing facility,,20.0,POINT (-71.15573826450004 42.390857628400006)
,,Lafayette Rehabilitation & Skilled Nursing,25 Lafayette Street,Marblehead,1945,Northeastern Massachusetts,,,,Nursing home,25 lafayette street,lafayette rehabilitation  skilled nursing,,3.0,POINT (-70.87382362834484 42.4938348)
,,Alliance Health at Marie Esther,720 Boston Post Road,Marlborough,1752,Metro West,,,,Nursing home,720 boston post road,alliance health at marie esther,,5.0,POINT (-71.5033491694631 42.350398507452994)
,,Meadows of Central Massachusetts,111 Huntoon Memorial Highway,Leicester,1542,Central Massachusetts,,,,Nursing home,111 huntoon memorial highway,meadows of central massachusetts,,4.0,POINT (-71.89891616754682 42.2020225)
,,Oak Knoll Healthcare Center,9 Arbetter Drive,Framingham,1701,Metro West,,,,Nursing home,9 arbetter drive,oak knoll healthcare center,,6.0,POINT (-71.423495 42.338304)
,,Agawam South Rehab and Nursing,65 Cooper Street,Agawam,1001,Western Massachusetts,,,,Nursing home,65 cooper street,agawam south rehab and nursing,,5.0,POINT (-72.62045515660407 42.07895845)
,,Seven Hills Pediatric Center,22 Hillside Avenue,Groton,1450,Northeastern Massachusetts,,,,Nursing home,22 hillside avenue,seven hills pediatric center,,3.0,POINT (-71.5798529093222 42.61232115)
,,Brentwood Rehabilitation and Healthcare Center,56 Liberty Street,Danvers,1923,Northeastern Massachusetts,,,,Nursing home,56 liberty street,brentwood rehabilitation and healthcare center,,9.0,POINT (-70.9210216494721 42.563351999999995)
,,Royal Braintree Nursing & Rehabilitation Center,95 Commercial Street,Braintree,2184,Metro South,,,,Nursing home,95 commercial street,royal braintree nursing  rehabilitation center,,13.0,POINT (-70.97097247044559 42.22110375)
,,Champion Rehabilitation and Nursing Center,2 Beaumont Avenue,Brockton,2302,Metro South,,,,Nursing home,2 beaumont avenue,champion rehabilitation and nursing center,,4.0,POINT (-70.98856021035954 42.0835203)
,,Life Care Center of the North Shore,111 Birch Street,Lynn,1902,Northeastern Massachusetts,,,,Nursing home,111 birch street,life care center of the north shore,,5.0,POINT (-70.93458444045801 42.47859105)
,,Fall River Healthcare,1748 Highland Avenue,Fall River,2720,Southcoast,,,,Nursing home,1748 highland avenue,fall river healthcare,,4.0,POINT (-71.13606963451934 41.727794450000005)
,,Kimwell Nursing and Rehabilitation,495 New Boston Road,Fall River,2720,Southcoast,,,,Nursing home,495 new boston road,kimwell nursing and rehabilitation,,4.0,POINT (-71.13655650887603 41.7091721)
,,Southwood at Norwell Nursing Center,501 Cordwainer Drive,Norwell,2061,Metro South,,,,Nursing home,501 cordwainer drive,southwood at norwell nursing center,,6.0,POINT (-70.88149077838713 42.1647071)
,,MASSACHUSETTS VETERANS HOME AT HOLYOKE,110 Cherry Street,HOLYOKE,1040,,,,,Nursing home,110 cherry street,massachusetts veterans home at holyoke,,6.0,POINT (-72.64051021007523 42.199360299999995)
,,Commons Residence at Orchard Cove,1 Del Pond Drive,Canton,2021,Metro Boston,,,,Nursing home,1 del pond drive,commons residence at orchard cove,,9.0,POINT (-71.11330691189744 42.1709579)
,,Pleasant Bay of Brewster Rehabilitation Center,383 South Orleans Road,Brewster,2631,Cape and Islands,,,,Nursing home,383 south orleans road,pleasant bay of brewster rehabilitation center,,1.0,POINT (-70.00124453922743 41.738964949999996)
,,Whitney Place at Westborough,5 Lyman Street,Westborough,1581,Central Massachusetts,,,,Nursing home,5 lyman street,whitney place at westborough,,9.0,POINT (-71.60739107002831 42.28319786447736)
,,Care One at Essex Park,265 Essex Street,Beverly,1915,Northeastern Massachusetts,,,,Nursing home,265 essex street,care one at essex park,,6.0,POINT (-70.86168781456092 42.56513015)
,,Brandon Woods of Dartmouth,567 Dartmouth Street,Dartmouth,2748,Southcoast,,,,Nursing home,567 dartmouth street,brandon woods of dartmouth,,4.0,POINT (-70.93937914285715 41.61112)
,,Craneville Place Rehabilitation & Nursing Center,265 Main Street,Dalton,1226,Western Massachusetts,,,,Nursing home,265 main street,craneville place rehabilitation  nursing center,,1.0,POINT (-73.17745071097283 42.472932099999994)
,,The Ellis Nursing Home,135 Ellis Avenue,Norwood,2062,Metro West,,,,Nursing home,135 ellis avenue,the ellis nursing home,,10.0,POINT (-71.1867275198222 42.2071374)
,,Bear Mountain at Andover,80 Andover Street,Andover,1810,Northeastern Massachusetts,,,,Nursing home,80 andover street,bear mountain at andover,,10.0,POINT (-71.15835003183432 42.6390425)
,,Bear Hill Rehabilitation & Nursing Center,11 North Street,Stoneham,2180,Northeastern Massachusetts,,,,Nursing home,11 north street,bear hill rehabilitation  nursing center,,22.0,POINT (-71.10023035268328 42.50329135)
,,Brookhaven at Lexington,1010 Waltham Street,Lexington,2421,Northeastern Massachusetts,,,,Nursing home,1010 waltham street,brookhaven at lexington,,19.0,POINT (-71.22929265883278 42.4139392)
,,Mill Town Health and Rehabilitation,22 Maple Street,Amesbury,1913,Northeastern Massachusetts,,,,Nursing home,22 maple street,mill town health and rehabilitation,,4.0,POINT (-70.94281582407783 42.857005)
,,St. Patrick's Manor,863 Central Street,Framingham,1701,Metro West,,,,Nursing home,863 central street,st patricks manor,,7.0,POINT (-71.42849738262167 42.307556386274925)
,,Braintree Manor Healthcare,1102 Washington Street,Braintree,2184,Metro South,,,,Nursing home,1102 washington street,braintree manor healthcare,,12.0,POINT (-71.00636742974446 42.19877365)
,,Wedgemere Healthcare,146 Dean Street,Taunton,2780,Metro South,,,,Nursing home,146 dean street,wedgemere healthcare,,5.0,POINT (-71.0752596159568 41.90428012423625)
,,Linda Manor Extended Care Facility,349 Haydenville Road,Northampton,1053,Western Massachusetts,,,,Nursing home,349 haydenville road,linda manor extended care facility,,2.0,POINT (-72.69018391711995 42.3612643)
,,WILLIMANSETT CENTER EAST,11 ST ANTHONY STREET,CHICOPEE,1013,,,,,Nursing home,11 st anthony street,willimansett center east,,6.0,POINT (-72.61495050899758 42.1813162)
,,Mary's Meadow at Providence Place,12 Gamelin Street,Holyoke,1040,Western Massachusetts,,,,Nursing home,12 gamelin street,marys meadow at providence place,,6.0,POINT (-72.63670750220547 42.16279745)
,,Hathorne Hill,15 Kirkbride Drive,Danvers,1923,Northeastern Massachusetts,,,,Nursing home,15 kirkbride drive,hathorne hill,,11.0,POINT (-70.97412105000001 42.58419155)
,,Agawam West Rehab and Nursing,61 Cooper Street,Agawam,1001,Western Massachusetts,,,,Nursing home,61 cooper street,agawam west rehab and nursing,,5.0,POINT (-72.61914987322373 42.0804485)
,,Coleman House,112 West Main Street,Northborough,1532,Central Massachusetts,,,,Nursing home,112 west main street,coleman house,,7.0,POINT (-71.65097281611972 42.318559050000005)
